"ID1","ID2","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD"
"JamesTown","blank",37.648954,-120.066753,400,17,26.9,8.7,18.2,701,42,38.6,647.1,17,4430,1342,1002,347,40,345,305,3,-8.7,46.1,1299,904
"JamesTown","blank",37.648954,-119.566738,400,17.7,28,9,19,1054,48,26.3,582.5,15,4671,1211,1120,356,26,352,327,4,-5.7,45,1201,776
"JamesTown","blank",37.648954,-119.066723,400,14.3,23.8,5.1,18.7,929,87,26.1,274.5,45,3512,1935,576,291,99,306,207,14,-18.1,43.8,1354,891
"JamesTown","blank",37.648954,-118.566708,400,16.1,26.7,6.3,20.4,302,74,86.4,363.1,31,4137,1602,929,299,92,308,216,2,-17.6,46.2,1487,1199
"JamesTown","blank",37.648954,-118.066694,400,15.9,28.1,4,24.1,139,63,186.7,443.1,53,4135,1811,1052,270,101,296,195,1,-24.8,45.4,1529,1390
"JamesTown","blank",37.648954,-117.566679,400,17.4,30.6,4.4,26.2,139,63,196.9,481.8,47,4658,1636,1424,287,94,304,210,1,-22.9,47.2,1545,1406
"JamesTown","blank",37.648954,-117.066664,400,17.2,29.9,4.9,25.1,129,58,210.8,514,40,4584,1601,1339,297,91,310,219,1,-20.9,45.7,1506,1377
"JamesTown","blank",38.148969,-122.566827,400,13.5,19,7.4,11.6,729,26,32.2,718.9,26,3153,1874,234,326,76,329,253,5,-13,39.6,1155,800
"JamesTown","blank",38.148969,-122.066812,400,15.5,22.3,7.7,14.6,516,23,49.5,984.9,21,3884,1468,556,340,51,341,290,3,-11.7,42.6,1277,947
"JamesTown","blank",38.148969,-121.566798,400,14,22,5.5,16.4,407,22,58.9,993.4,40,3387,1915,452,314,83,323,240,5,-15.9,41.8,1226,935
"JamesTown","blank",38.148969,-121.066783,400,14.4,23,5.9,17.1,451,26,54.2,870.1,37,3536,1843,540,317,81,325,243,5,-14.8,42.1,1264,950
"JamesTown","blank",38.148969,-120.566768,400,15.5,25,7.4,17.6,789,47,32.3,533.7,26,3893,1647,740,321,79,327,248,5,-14.1,44.6,1356,944
"JamesTown","blank",38.148969,-120.066753,400,15.1,24.3,7,17.3,977,95,25.7,255,28,3765,1695,653,328,71,330,259,7,-13.3,42.8,1249,778
"JamesTown","blank",38.148969,-119.566738,400,14.8,23.6,5.6,18.1,1474,195,16.8,120.8,32,3646,1684,501,332,61,327,265,14,-15,38.2,1196,574
"JamesTown","blank",38.148969,-119.066723,400,14.7,24.7,4.3,20.4,405,96,61,258.2,49,3693,1887,700,266,106,292,186,6,-24.5,44.2,1461,1093
"JamesTown","blank",38.148969,-118.566708,400,16,27.1,5.6,21.5,218,62,119.2,434.6,36,4113,1673,956,291,96,305,209,2,-19.9,45.3,1462,1244
"JamesTown","blank",38.148969,-118.066694,400,16.6,28.7,4.9,23.9,157,63,168.9,457.8,41,4345,1660,1155,285,96,303,206,1,-22.3,46.2,1519,1362
"JamesTown","blank",38.148969,-117.566679,400,16.9,29.7,4.5,25.2,135,63,198.6,470.9,45,4471,1665,1274,289,95,305,209,1,-22.1,46.2,1517,1381
"JamesTown","blank",38.148969,-117.066664,400,16.6,29.4,4.2,25.2,164,76,162.2,384.3,48,4389,1722,1239,286,96,305,209,1,-22.6,45.4,1483,1319
"JamesTown","blank",38.648984,-123.066842,400,14.7,21.7,8,13.7,1401,60,17.6,363.7,22,3581,1650,445,330,70,333,263,8,-12.4,41.9,1250,769
"JamesTown","blank",38.648984,-122.566827,400,14.5,22.4,7.6,14.7,1158,48,21.2,462.3,26,3532,1746,479,334,67,338,271,8,-10.4,42.5,1229,815
"JamesTown","blank",38.648984,-122.066812,400,14.6,23.5,6.3,17.2,599,25,41.1,949.7,34,3598,1810,576,312,88,320,232,6,-15.5,43.5,1310,981
"JamesTown","blank",38.648984,-121.566798,400,14.7,23.2,6,17.1,470,23,52.5,1020.4,35,3621,1787,569,325,70,331,260,5,-13.8,42.5,1248,951
"JamesTown","blank",38.648984,-121.066783,400,15.1,24.3,6.5,17.9,674,39,37.3,629.1,31,3777,1720,680,327,70,333,263,6,-13.8,43.5,1270,908
